PROFILING DEMO] Training for 10 steps with enhanced memory+timing profiler
[TRAIN] BATCH_SIZE=512, ACCUM_STEPS=1
[MEMORY] Enhanced MemoryMonitor: memory + timing enabled

🔥 Starting enhanced profiling (memory + timing)...

--- Step 1/10 ---
[PROFILE] Var: in=[(512, 144, 56, 56)] -> out=(1, 144, 1, 1) | time=66.53 ms | drv used/total=29.05 GB/85.10 GB | pool used/total=12.94 GB/28.49 GB
[PROFILE] BatchNormalizer: in=[(512, 144, 56, 56), (1, 144, 1, 1), (1, 144, 1, 1), (1, 144, 1, 1), (1, 144, 1, 1)] -> out=(512, 144, 56, 56) | time=7.36 ms | drv used/total=29.05 GB/85.10 GB | pool used/total=13.41 GB/28.49 GB
[PROFILE] ReLU6: in=[(512, 144, 56, 56)] -> out=(512, 144, 56, 56) | time=1.42 ms | drv used/total=29.05 GB/85.10 GB | pool used/total=13.87 GB/28.49 GB
[PROFILE] Pad: in=[(512, 144, 56, 56)] -> out=(512, 144, 57, 57) | time=10.70 ms | drv used/total=16.56 GB/85.10 GB | pool used/total=13.89 GB/16.01 GB
[PROFILE] SlidingWindowView: in=[(512, 144, 57, 57)] -> out=(512, 144, 28, 28, 3, 3) | time=1.64 ms | drv used/total=16.56 GB/85.10 GB | pool used/total=13.89 GB/16.01 GB
[PROFILE] Cast: in=[(144, 3, 3)] -> out=(144, 3, 3) | time=75.6 μs | drv used/total=16.56 GB/85.10 GB | pool used/total=13.89 GB/16.01 GB
[PROFILE] EinSum: in=[(512, 144, 28, 28, 3, 3), (144, 3, 3)] -> out=(512, 144, 28, 28) | time=102.97 ms | drv used/total=19.69 GB/85.10 GB | pool used/total=14.00 GB/19.13 GB
[PROFILE] Mean: in=[(512, 144, 28, 28)] -> out=(1, 144, 1, 1) | time=755.8 μs | drv used/total=19.69 GB/85.10 GB | pool used/total=14.00 GB/19.13 GB
[PROFILE] Var: in=[(512, 144, 28, 28)] -> out=(1, 144, 1, 1) | time=17.07 ms | drv used/total=19.69 GB/85.10 GB | pool used/total=14.00 GB/19.13 GB
[PROFILE] BatchNormalizer: in=[(512, 144, 28, 28), (1, 144, 1, 1), (1, 144, 1, 1), (1, 144, 1, 1), (1, 144, 1, 1)] -> out=(512, 144, 28, 28) | time=1.96 ms | drv used/total=19.69 GB/85.10 GB | pool used/total=14.12 GB/19.13 GB
[PROFILE] ReLU6: in=[(512, 144, 28, 28)] -> out=(512, 144, 28, 28) | time=412.6 μs | drv used/total=19.69 GB/85.10 GB | pool used/total=14.23 GB/19.13 GB
[PROFILE] SlidingWindowView: in=[(512, 144, 28, 28)] -> out=(512, 144, 28, 28, 1, 1) | time=511.0 μs | drv used/total=19.69 GB/85.10 GB | pool used/total=14.23 GB/19.13 GB
[PROFILE] Cast: in=[(32, 144, 1, 1)] -> out=(32, 144, 1, 1) | time=68.4 μs | drv used/total=19.69 GB/85.10 GB | pool used/total=14.23 GB/19.13 GB
[PROFILE] EinSum: in=[(512, 144, 28, 28, 1, 1), (32, 144, 1, 1)] -> out=(512, 32, 28, 28) | time=1.18 ms | drv used/total=19.69 GB/85.10 GB | pool used/total=14.26 GB/19.13 GB
[PROFILE] Mean: in=[(512, 32, 28, 28)] -> out=(1, 32, 1, 1) | time=496.5 μs | drv used/total=19.69 GB/85.10 GB | pool used/total=14.26 GB/19.13 GB
[PROFILE] Var: in=[(512, 32, 28, 28)] -> out=(1, 32, 1, 1) | time=12.77 ms | drv used/total=19.69 GB/85.10 GB | pool used/total=14.26 GB/19.13 GB
[PROFILE] BatchNormalizer: in=[(512, 32, 28, 28), (1, 32, 1, 1), (1, 32, 1, 1), (1, 32, 1, 1), (1, 32, 1, 1)] -> out=(512, 32, 28, 28) | time=509.7 μs | drv used/total=19.69 GB/85.10 GB | pool used/total=14.28 GB/19.13 GB
[PROFILE] Passthrough: in=[(512, 32, 28, 28)] -> out=(512, 32, 28, 28) | time=21.0 μs | drv used/total=19.69 GB/85.10 GB | pool used/total=14.28 GB/19.13 GB
[PROFILE] SlidingWindowView: in=[(512, 32, 28, 28)] -> out=(512, 32, 28, 28, 1, 1) | time=321.1 μs | drv used/total=19.69 GB/85.10 GB | pool used/total=14.28 GB/19.13 GB
[PROFILE] Cast: in=[(192, 32, 1, 1)] -> out=(192, 32, 1, 1) | time=66.6 μs | drv used/total=19.69 GB/85.10 GB | pool used/total=14.28 GB/19.13 GB
[PROFILE] EinSum: in=[(512, 32, 28, 28, 1, 1), (192, 32, 1, 1)] -> out=(512, 192, 28, 28) | time=1.16 ms | drv used/total=19.69 GB/85.10 GB | pool used/total=14.44 GB/19.13 GB
[PROFILE] Mean: in=[(512, 192, 28, 28)] -> out=(1, 192, 1, 1) | time=674.6 μs | drv used/total=19.69 GB/85.10 GB | pool used/total=14.44 GB/19.13 GB
[PROFILE] Var: in=[(512, 192, 28, 28)] -> out=(1, 192, 1, 1) | time=17.46 ms | drv used/total=19.69 GB/85.10 GB | pool used/total=14.44 GB/19.13 GB
[PROFILE] BatchNormalizer: in=[(512, 192, 28, 28), (1, 192, 1, 1), (1, 192, 1, 1), (1, 192, 1, 1), (1, 192, 1, 1)] -> out=(512, 192, 28, 28) | time=2.54 ms | drv used/total=19.69 GB/85.10 GB | pool used/total=14.59 GB/19.13 GB
[PROFILE] ReLU6: in=[(512, 192, 28, 28)] -> out=(512, 192, 28, 28) | time=513.4 μs | drv used/total=19.69 GB/85.10 GB | pool used/total=14.75 GB/19.13 GB
[PROFILE] Pad: in=[(512, 192, 28, 28)] -> out=(512, 192, 30, 30) | time=7.10 ms | drv used/total=16.56 GB/85.10 GB | pool used/total=14.77 GB/16.01 GB
[PROFILE] SlidingWindowView: in=[(512, 192, 30, 30)] -> out=(512, 192, 28, 28, 3, 3) | time=2.83 ms | drv used/total=16.56 GB/85.10 GB | pool used/total=14.77 GB/16.01 GB
[PROFILE] Cast: in=[(192, 3, 3)] -> out=(192, 3, 3) | time=67.3 μs | drv used/total=16.56 GB/85.10 GB | pool used/total=14.77 GB/16.01 GB
[PROFILE] EinSum: in=[(512, 192, 28, 28, 3, 3), (192, 3, 3)] -> out=(512, 192, 28, 28) | time=84.04 ms | drv used/total=20.73 GB/85.10 GB | pool used/total=14.92 GB/20.17 GB
[PROFILE] Mean: in=[(512, 192, 28, 28)] -> out=(1, 192, 1, 1) | time=690.3 μs | drv used/total=20.73 GB/85.10 GB | pool used/total=14.92 GB/20.17 GB
[PROFILE] Var: in=[(512, 192, 28, 28)] -> out=(1, 192, 1, 1) | time=17.42 ms | drv used/total=20.73 GB/85.10 GB | pool used/total=14.92 GB/20.17 GB
[PROFILE] BatchNormalizer: in=[(512, 192, 28, 28), (1, 192, 1, 1), (1, 192, 1, 1), (1, 192, 1, 1), (1, 192, 1, 1)] -> out=(512, 192, 28, 28) | time=2.55 ms | drv used/total=20.73 GB/85.10 GB | pool used/total=15.08 GB/20.17 GB
[PROFILE] ReLU6: in=[(512, 192, 28, 28)] -> out=(512, 192, 28, 28) | time=518.5 μs | drv used/total=20.73 GB/85.10 GB | pool used/total=15.23 GB/20.17 GB
[PROFILE] SlidingWindowView: in=[(512, 192, 28, 28)] -> out=(512, 192, 28, 28, 1, 1) | time=344.4 μs | drv used/total=20.73 GB/85.10 GB | pool used/total=15.23 GB/20.17 GB
[PROFILE] Cast: in=[(32, 192, 1, 1)] -> out=(32, 192, 1, 1) | time=67.0 μs | drv used/total=20.73 GB/85.10 GB | pool used/total=15.23 GB/20.17 GB
[PROFILE] EinSum: in=[(512, 192, 28, 28, 1, 1), (32, 192, 1, 1)] -> out=(512, 32, 28, 28) | time=1.52 ms | drv used/total=20.73 GB/85.10 GB | pool used/total=15.26 GB/20.17 GB
[PROFILE] Mean: in=[(512, 32, 28, 28)] -> out=(1, 32, 1, 1) | time=494.1 μs | drv used/total=20.73 GB/85.10 GB | pool used/total=15.26 GB/20.17 GB
[PROFILE] Var: in=[(512, 32, 28, 28)] -> out=(1, 32, 1, 1) | time=12.85 ms | drv used/total=20.73 GB/85.10 GB | pool used/total=15.26 GB/20.17 GB
[PROFILE] BatchNormalizer: in=[(512, 32, 28, 28), (1, 32, 1, 1), (1, 32, 1, 1), (1, 32, 1, 1), (1, 32, 1, 1)] -> out=(512, 32, 28, 28) | time=509.3 μs | drv used/total=20.73 GB/85.10 GB | pool used/total=15.28 GB/20.17 GB
[PROFILE] Passthrough: in=[(512, 32, 28, 28)] -> out=(512, 32, 28, 28) | time=19.6 μs | drv used/total=20.73 GB/85.10 GB | pool used/total=15.28 GB/20.17 GB
[PROFILE] Add: in=[(512, 32, 28, 28), (512, 32, 28, 28)] -> out=(512, 32, 28, 28) | time=124.4 μs | drv used/total=20.73 GB/85.10 GB | pool used/total=15.31 GB/20.17 GB
[PROFILE] SlidingWindowView: in=[(512, 32, 28, 28)] -> out=(512, 32, 28, 28, 1, 1) | time=314.9 μs | drv used/total=20.73 GB/85.10 GB | pool used/total=15.31 GB/20.17 GB
[PROFILE] Cast: in=[(192, 32, 1, 1)] -> out=(192, 32, 1, 1) | time=66.6 μs | drv used/total=20.73 GB/85.10 GB | pool used/total=15.31 GB/20.17 GB
[PROFILE] EinSum: in=[(512, 32, 28, 28, 1, 1), (192, 32, 1, 1)] -> out=(512, 192, 28, 28) | time=1.13 ms | drv used/total=20.73 GB/85.10 GB | pool used/total=15.46 GB/20.17 GB
[PROFILE] Mean: in=[(512, 192, 28, 28)] -> out=(1, 192, 1, 1) | time=673.5 μs | drv used/total=20.73 GB/85.10 GB | pool used/total=15.46 GB/20.17 GB
[PROFILE] Var: in=[(512, 192, 28, 28)] -> out=(1, 192, 1, 1) | time=17.51 ms | drv used/total=20.73 GB/85.10 GB | pool used/total=15.46 GB/20.17 GB
[PROFILE] BatchNormalizer: in=[(512, 192, 28, 28), (1, 192, 1, 1), (1, 192, 1, 1), (1, 192, 1, 1), (1, 192, 1, 1)] -> out=(512, 192, 28, 28) | time=2.54 ms | drv used/total=20.73 GB/85.10 GB | pool used/total=15.62 GB/20.17 GB
[PROFILE] ReLU6: in=[(512, 192, 28, 28)] -> out=(512, 192, 28, 28) | time=520.2 μs | drv used/total=20.73 GB/85.10 GB | pool used/total=15.77 GB/20.17 GB
[PROFILE] Pad: in=[(512, 192, 28, 28)] -> out=(512, 192, 30, 30) | time=5.67 ms | drv used/total=17.95 GB/85.10 GB | pool used/total=15.79 GB/17.40 GB
[PROFILE] SlidingWindowView: in=[(512, 192, 30, 30)] -> out=(512, 192, 28, 28, 3, 3) | time=2.28 ms | drv used/total=17.95 GB/85.10 GB | pool used/total=15.79 GB/17.40 GB
[PROFILE] Cast: in=[(192, 3, 3)] -> out=(192, 3, 3) | time=68.7 μs | drv used/total=17.95 GB/85.10 GB | pool used/total=15.79 GB/17.40 GB
[PROFILE] EinSum: in=[(512, 192, 28, 28, 3, 3), (192, 3, 3)] -> out=(512, 192, 28, 28) | time=13.50 ms | drv used/total=22.12 GB/85.10 GB | pool used/total=15.95 GB/21.56 GB
[PROFILE] Mean: in=[(512, 192, 28, 28)] -> out=(1, 192, 1, 1) | time=674.0 μs | drv used/total=22.12 GB/85.10 GB | pool used/total=15.95 GB/21.56 GB
[PROFILE] Var: in=[(512, 192, 28, 28)] -> out=(1, 192, 1, 1) | time=17.44 ms | drv used/total=22.12 GB/85.10 GB | pool used/total=15.95 GB/21.56 GB
[PROFILE] BatchNormalizer: in=[(512, 192, 28, 28), (1, 192, 1, 1), (1, 192, 1, 1), (1, 192, 1, 1), (1, 192, 1, 1)] -> out=(512, 192, 28, 28) | time=2.54 ms | drv used/total=22.12 GB/85.10 GB | pool used/total=16.10 GB/21.56 GB
[PROFILE] ReLU6: in=[(512, 192, 28, 28)] -> out=(512, 192, 28, 28) | time=512.7 μs | drv used/total=22.12 GB/85.10 GB | pool used/total=16.26 GB/21.56 GB
