[PROFILING DEMO] Training for 10 steps with enhanced memory+timing profiler
[TRAIN] BATCH_SIZE=512, ACCUM_STEPS=1
[MEMORY] Enhanced MemoryMonitor: memory + timing enabled

🔥 Starting enhanced profiling (memory + timing)...

--- Step 1/10 ---
[PROFILE] EinSum: in=[(512, 32, 28, 28, 1, 1), (192, 32, 1, 1)] -> out=(512, 192, 28, 28) | time=1.76 ms | drv used/total=21.84 GB/85.10 GB | pool used/total=15.09 GB/21.32 GB
[PROFILE] Mean: in=[(512, 192, 28, 28)] -> out=(1, 192, 1, 1) | time=2.91 ms | drv used/total=21.84 GB/85.10 GB | pool used/total=15.10 GB/21.32 GB
[PROFILE] Var: in=[(512, 192, 28, 28)] -> out=(1, 192, 1, 1) | time=4.99 ms | drv used/total=21.84 GB/85.10 GB | pool used/total=15.10 GB/21.32 GB
[PROFILE] BatchNormalizer: in=[(512, 192, 28, 28), (1, 192, 1, 1), (1, 192, 1, 1), (1, 192, 1, 1), (1, 192, 1, 1)] -> out=(512, 192, 28, 28) | time=4.12 ms | drv used/total=21.84 GB/85.10 GB | pool used/total=15.25 GB/21.32 GB
[PROFILE] ReLU6: in=[(512, 192, 28, 28)] -> out=(512, 192, 28, 28) | time=3.87 ms | drv used/total=21.84 GB/85.10 GB | pool used/total=15.41 GB/21.32 GB
[PROFILE] Pad: in=[(512, 192, 28, 28)] -> out=(512, 192, 30, 30) | time=5.64 ms | drv used/total=21.84 GB/85.10 GB | pool used/total=15.44 GB/21.32 GB
[PROFILE] SlidingWindowView: in=[(512, 192, 30, 30)] -> out=(512, 192, 28, 28, 3, 3) | time=7.59 ms | drv used/total=21.84 GB/85.10 GB | pool used/total=15.44 GB/21.32 GB
[PROFILE] Cast: in=[(192, 3, 3)] -> out=(192, 3, 3) | time=1.12 ms | drv used/total=21.84 GB/85.10 GB | pool used/total=15.44 GB/21.32 GB
[PROFILE] EinSum: in=[(512, 192, 28, 28, 3, 3), (192, 3, 3)] -> out=(512, 192, 28, 28) | time=14.11 ms | drv used/total=21.84 GB/85.10 GB | pool used/total=15.60 GB/21.32 GB
[PROFILE] Mean: in=[(512, 192, 28, 28)] -> out=(1, 192, 1, 1) | time=1.56 ms | drv used/total=21.84 GB/85.10 GB | pool used/total=15.60 GB/21.32 GB
